location_name,latitude,longitude,timestamp,source,temperature_2m,relative_humidity_2m,precipitation,precipitation_probability,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description,evapotranspiration,soil_moisture_0_to_7cm,hour,date,dayofweek,month,flyability_score,decision_action,fly_label,risk_level
An Giang,10.5216,105.1259,2026-07-02 06:00:00,Open-Meteo,25.5,93,0.1,87,99,15580.0,12.7,23.8,51,Code 51,0.01,0.446,6,2026-07-02,3,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 07:00:00,Open-Meteo,27.7,84,0.0,80,97,22500.0,14.6,21.6,3,Code 3,0.03,0.429,7,2026-07-02,3,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 08:00:00,Open-Meteo,28.5,82,0.0,80,97,22300.0,14.6,27.0,3,Code 3,0.11,0.427,8,2026-07-02,3,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 09:00:00,Open-Meteo,29.3,78,0.0,83,100,17760.0,14.6,34.9,3,Code 3,0.21,0.425,9,2026-07-02,3,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 10:00:00,Open-Meteo,29.6,77,0.0,86,93,18160.0,13.3,30.2,3,Code 3,0.31,0.422,10,2026-07-02,3,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 11:00:00,Open-Meteo,28.5,86,3.1,90,100,7200.0,13.5,38.5,96,Code 96,0.33,0.452,11,2026-07-02,3,7,0.57,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 12:00:00,Open-Meteo,28.1,86,0.6,95,98,6200.0,14.2,29.2,95,Code 95,0.33,0.453,12,2026-07-02,3,7,0.68,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 13:00:00,Open-Meteo,27.9,81,1.4,98,100,2340.0,16.5,38.5,95,Code 95,0.33,0.465,13,2026-07-02,3,7,0.68,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 14:00:00,Open-Meteo,27.6,87,1.4,100,100,5860.0,8.9,40.7,95,Code 95,0.25,0.475,14,2026-07-02,3,7,0.68,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 15:00:00,Open-Meteo,28.0,88,0.4,100,100,6760.0,10.8,26.3,95,Code 95,0.17,0.473,15,2026-07-02,3,7,0.83,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 16:00:00,Open-Meteo,26.9,90,1.4,100,100,4040.0,15.0,30.2,80,Code 80,0.15,0.482,16,2026-07-02,3,7,0.68,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-02 17:00:00,Open-Meteo,26.6,91,0.5,96,100,6440.0,13.5,28.8,53,Code 53,0.11,0.481,17,2026-07-02,3,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 06:00:00,Open-Meteo,25.3,94,0.0,75,95,9480.0,12.3,18.7,3,Code 3,0.02,0.45,6,2026-07-03,4,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 07:00:00,Open-Meteo,25.0,95,4.1,75,99,2140.0,16.8,29.2,96,Code 96,0.04,0.499,7,2026-07-03,4,7,0.57,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 08:00:00,Open-Meteo,25.3,94,3.5,76,100,2300.0,11.8,23.4,81,Code 81,0.11,0.515,8,2026-07-03,4,7,0.68,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 09:00:00,Open-Meteo,26.2,91,1.6,79,100,3500.0,12.0,19.4,80,Code 80,0.21,0.508,9,2026-07-03,4,7,0.83,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 10:00:00,Open-Meteo,26.9,91,0.7,82,100,5120.0,11.3,21.2,53,Code 53,0.28,0.5,10,2026-07-03,4,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 11:00:00,Open-Meteo,27.3,89,0.6,87,98,3480.0,14.6,27.7,53,Code 53,0.34,0.495,11,2026-07-03,4,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 12:00:00,Open-Meteo,27.5,85,1.3,92,100,3920.0,16.3,36.4,80,Code 80,0.31,0.498,12,2026-07-03,4,7,0.68,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 13:00:00,Open-Meteo,26.8,91,4.2,96,100,2360.0,13.9,38.9,95,Code 95,0.36,0.506,13,2026-07-03,4,7,0.53,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 14:00:00,Open-Meteo,26.5,94,1.2,98,100,4240.0,13.1,28.4,55,Code 55,0.36,0.505,14,2026-07-03,4,7,0.83,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 15:00:00,Open-Meteo,26.9,92,0.6,98,100,4780.0,16.7,29.9,53,Code 53,0.29,0.5,15,2026-07-03,4,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 16:00:00,Open-Meteo,27.0,92,0.5,96,100,4540.0,13.8,28.4,53,Code 53,0.22,0.497,16,2026-07-03,4,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-03 17:00:00,Open-Meteo,26.9,93,0.5,92,100,4960.0,13.6,25.2,53,Code 53,0.15,0.495,17,2026-07-03,4,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-04 06:00:00,Open-Meteo,24.8,95,0.1,71,100,13520.0,12.0,20.2,51,Code 51,0.01,0.484,6,2026-07-04,5,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-04 07:00:00,Open-Meteo,25.7,94,0.0,75,100,13020.0,14.3,22.0,3,Code 3,0.03,0.482,7,2026-07-04,5,7,0.87,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-04 08:00:00,Open-Meteo,25.1,93,3.4,80,100,2040.0,16.2,34.2,95,Code 95,0.13,0.518,8,2026-07-04,5,7,0.53,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-04 09:00:00,Open-Meteo,25.5,93,1.6,86,100,5080.0,13.8,27.0,80,Code 80,0.23,0.51,9,2026-07-04,5,7,0.83,RETURN_TO_CHARGING,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-07-04 10:00:00,Open-Meteo,27.7,85,0.4,90,100,8740.0,14.1,29.9,51,Code 51,0.33,0.504,10,2026-07-04,5,7,0.72,RETURN_TO_CHARGING,NO_FLY,HIGH
