location_name,date,baseline_timestamp,baseline_action,baseline_waste_liters,dss_timestamp,dss_action,dss_waste_liters,avoided_risky_operation,recommendation_text
An Giang,2026-05-25,2026-05-25 12:00:00,DELAY_FLIGHT,40.0,2026-05-25 10:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 8.3 km/h, gio giat 9.5 km/h, xac suat mua 0%. De xuat flow-rate 108.0%."
An Giang,2026-05-26,2026-05-26 12:00:00,DELAY_FLIGHT,60.0,2026-05-26 09:00:00,TAKE_OFF,20.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 16.6 km/h, gio giat 19.0 km/h, xac suat mua 0%. De xuat flow-rate 98.0%."
An Giang,2026-05-27,2026-05-27 12:00:00,RETURN_TO_CHARGING,100.0,2026-05-27 06:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 10.1 km/h, gio giat 15.7 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
An Giang,2026-05-28,2026-05-28 12:00:00,DELAY_FLIGHT,40.0,2026-05-28 10:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 10.8 km/h, gio giat 12.4 km/h, xac suat mua 0%. De xuat flow-rate 108.0%."
An Giang,2026-05-29,2026-05-29 12:00:00,TAKE_OFF,0.0,2026-05-29 10:00:00,TAKE_OFF,0.0,0,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 2.5 km/h, gio giat 3.5 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
An Giang,2026-05-30,2026-05-30 12:00:00,RETURN_TO_CHARGING,60.0,2026-05-30 16:00:00,TAKE_OFF,20.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 15.8 km/h, gio giat 21.6 km/h, xac suat mua 0%. De xuat flow-rate 90.0%."
An Giang,2026-06-01,2026-06-01 12:00:00,RETURN_TO_CHARGING,60.0,2026-06-01 16:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 7.9 km/h, gio giat 11.6 km/h, xac suat mua 25%. De xuat flow-rate 100.0%."
An Giang,2026-06-02,2026-06-02 12:00:00,RETURN_TO_CHARGING,80.0,2026-06-02 06:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 5.8 km/h, gio giat 9.7 km/h, xac suat mua 12%. De xuat flow-rate 100.0%."
An Giang,2026-06-03,2026-06-03 12:00:00,TAKE_OFF,0.0,2026-06-03 13:00:00,TAKE_OFF,0.0,0,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 14.4 km/h, gio giat 17.1 km/h, xac suat mua 2%. De xuat flow-rate 100.0%."
An Giang,2026-06-04,2026-06-04 12:00:00,RETURN_TO_CHARGING,80.0,2026-06-04 07:00:00,RETURN_TO_CHARGING,0.0,0,"RETURN_TO_CHARGING: Thoi tiet mua/nguy hiem, xac suat mua 73%. Dua drone ve tram sac de bao ve thiet bi."
