location_name,latitude,longitude,timestamp,source,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description,hour,date,dayofweek,month,flyability_score,fly_label,risk_level
An Giang,10.5216,105.1259,2026-06-01 06:00:00,WeatherAPI,26.0,86,73,0.59,63,10000.0,6.8,11.0,1240,Light rain shower,6,2026-06-01,0,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-01 07:00:00,WeatherAPI,26.7,83,73,2.14,55,10000.0,8.3,13.1,1240,Light rain shower,7,2026-06-01,0,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-01 08:00:00,WeatherAPI,27.2,81,81,1.88,88,10000.0,16.2,23.8,1240,Light rain shower,8,2026-06-01,0,6,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-01 09:00:00,WeatherAPI,26.7,84,73,0.44,100,10000.0,16.9,27.8,1240,Light rain shower,9,2026-06-01,0,6,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-01 10:00:00,WeatherAPI,26.7,84,73,0.2,80,10000.0,12.6,21.2,1240,Light rain shower,10,2026-06-01,0,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-01 11:00:00,WeatherAPI,27.1,82,73,0.82,63,10000.0,11.5,19.7,1240,Light rain shower,11,2026-06-01,0,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-01 12:00:00,WeatherAPI,27.3,82,73,0.86,62,10000.0,9.7,18.0,1240,Light rain shower,12,2026-06-01,0,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-01 13:00:00,WeatherAPI,27.2,82,13,0.01,68,10000.0,6.5,12.0,1063,Patchy rain nearby,13,2026-06-01,0,6,0.8,NO_FLY,LOW
An Giang,10.5216,105.1259,2026-06-01 14:00:00,WeatherAPI,27.0,84,73,0.16,60,10000.0,6.1,8.6,1240,Light rain shower,14,2026-06-01,0,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-01 15:00:00,WeatherAPI,26.8,86,25,0.01,98,10000.0,9.4,13.5,1063,Patchy rain nearby,15,2026-06-01,0,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-01 16:00:00,WeatherAPI,26.6,87,25,0.0,100,10000.0,7.9,11.6,1009,Overcast,16,2026-06-01,0,6,0.9,FLY,LOW
An Giang,10.5216,105.1259,2026-06-01 17:00:00,WeatherAPI,26.3,88,23,0.0,91,10000.0,9.0,13.5,1009,Overcast,17,2026-06-01,0,6,0.9,FLY,LOW
An Giang,10.5216,105.1259,2026-06-02 06:00:00,WeatherAPI,25.3,88,12,0.0,54,10000.0,5.8,9.7,1003,Partly Cloudy,6,2026-06-02,1,6,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-06-02 07:00:00,WeatherAPI,26.5,82,20,0.02,87,10000.0,5.8,8.2,1063,Patchy rain nearby,7,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 08:00:00,WeatherAPI,28.1,74,73,0.06,78,10000.0,8.3,10.2,1063,Patchy rain nearby,8,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 09:00:00,WeatherAPI,29.7,67,73,0.49,72,9000.0,11.2,13.2,1063,Patchy rain nearby,9,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 10:00:00,WeatherAPI,30.6,64,73,0.55,78,9000.0,13.7,17.5,1063,Patchy rain nearby,10,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 11:00:00,WeatherAPI,31.1,62,73,0.4,58,10000.0,15.5,21.2,1240,Light rain shower,11,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 12:00:00,WeatherAPI,31.3,62,73,0.5,71,10000.0,16.6,24.3,1240,Light rain shower,12,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 13:00:00,WeatherAPI,30.5,65,73,0.12,68,10000.0,17.3,26.7,1063,Patchy rain nearby,13,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 14:00:00,WeatherAPI,30.6,65,73,0.12,68,10000.0,18.0,20.9,1063,Patchy rain nearby,14,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 15:00:00,WeatherAPI,29.8,68,12,0.02,100,10000.0,19.1,23.6,1063,Patchy rain nearby,15,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 16:00:00,WeatherAPI,28.7,72,13,0.01,100,10000.0,19.8,25.7,1063,Patchy rain nearby,16,2026-06-02,1,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-02 17:00:00,WeatherAPI,28.2,74,73,0.11,98,10000.0,20.2,27.4,1063,Patchy rain nearby,17,2026-06-02,1,6,0.3,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-06-03 06:00:00,WeatherAPI,25.1,85,9,0.0,48,10000.0,11.5,18.9,1003,Partly Cloudy,6,2026-06-03,2,6,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-06-03 07:00:00,WeatherAPI,26.6,78,6,0.0,46,10000.0,14.8,19.7,1003,Partly Cloudy,7,2026-06-03,2,6,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-06-03 08:00:00,WeatherAPI,27.9,71,5,0.0,62,10000.0,17.6,21.7,1003,Partly Cloudy,8,2026-06-03,2,6,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-06-03 09:00:00,WeatherAPI,28.7,67,3,0.0,50,10000.0,18.7,21.8,1003,Partly Cloudy,9,2026-06-03,2,6,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-06-03 10:00:00,WeatherAPI,28.5,68,10,0.02,91,10000.0,18.4,21.8,1063,Patchy rain nearby,10,2026-06-03,2,6,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-06-03 11:00:00,WeatherAPI,27.9,71,9,0.04,65,10000.0,15.1,19.0,1063,Patchy rain nearby,11,2026-06-03,2,6,0.8,NO_FLY,LOW
An Giang,10.5216,105.1259,2026-06-03 12:00:00,WeatherAPI,27.4,74,6,0.0,63,10000.0,13.0,17.2,1006,Cloudy,12,2026-06-03,2,6,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-06-03 13:00:00,WeatherAPI,29.3,66,2,0.0,35,10000.0,14.4,17.1,1003,Partly Cloudy,13,2026-06-03,2,6,1.0,FLY,LOW
An Giang,10.5216,105.1259,2026-06-03 14:00:00,WeatherAPI,32.2,56,3,0.0,66,10000.0,15.8,18.2,1006,Cloudy,14,2026-06-03,2,6,1.0,FLY,LOW
