location_name,latitude,longitude,timestamp,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description
Dong Thap,10.4939,105.6882,2026-05-19 00:00:00,26.4,91,39,0.0,99,19420.0,7.3,12.6,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 01:00:00,26.9,91,25,0.0,100,22220.0,7.5,13.7,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 02:00:00,26.5,92,24,0.0,99,19040.0,7.4,13.0,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 03:00:00,26.4,92,29,0.0,98,19040.0,8.1,13.3,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 04:00:00,26.4,90,35,0.0,97,20440.0,11.1,18.7,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 05:00:00,26.2,90,40,0.0,67,18560.0,11.5,21.6,2,Nhieu may mot phan
Dong Thap,10.4939,105.6882,2026-05-19 06:00:00,26.1,90,46,0.0,48,18500.0,10.9,19.8,1,Chu yeu quang
Dong Thap,10.4939,105.6882,2026-05-19 07:00:00,27.2,87,53,0.3,77,10660.0,15.8,29.2,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 08:00:00,27.6,84,62,0.1,98,9260.0,14.3,34.2,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 09:00:00,29.0,79,71,0.1,97,13200.0,17.1,36.0,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 10:00:00,29.0,79,80,0.7,99,5620.0,16.5,38.9,53,Mua phun vua
Dong Thap,10.4939,105.6882,2026-05-19 11:00:00,29.9,77,87,0.5,96,10680.0,15.3,38.9,53,Mua phun vua
Dong Thap,10.4939,105.6882,2026-05-19 12:00:00,30.8,74,93,0.1,99,12500.0,17.7,36.7,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 13:00:00,30.8,73,96,0.1,98,11520.0,18.6,38.2,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 14:00:00,30.5,74,98,0.7,100,4200.0,16.8,38.9,53,Mua phun vua
Dong Thap,10.4939,105.6882,2026-05-19 15:00:00,28.8,81,98,1.2,100,4280.0,15.8,36.0,55,Mua phun day
Dong Thap,10.4939,105.6882,2026-05-19 16:00:00,29.0,80,92,0.3,99,9140.0,11.9,29.5,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 17:00:00,29.1,80,76,0.1,100,11880.0,11.4,24.5,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 18:00:00,28.5,83,55,0.1,100,12180.0,9.1,20.2,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 19:00:00,28.1,83,37,0.1,99,21840.0,9.3,15.5,51,Mua phun nhe
Dong Thap,10.4939,105.6882,2026-05-19 20:00:00,28.0,83,25,0.0,100,23640.0,10.5,18.0,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 21:00:00,27.7,83,16,0.0,100,21420.0,10.7,19.1,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 22:00:00,27.5,84,10,0.0,100,24320.0,10.1,18.7,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-19 23:00:00,27.1,85,7,0.0,100,22620.0,10.0,17.6,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 00:00:00,26.9,86,7,0.0,100,20680.0,8.1,16.9,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 01:00:00,26.6,88,10,0.0,99,20500.0,7.3,13.7,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 02:00:00,26.5,89,16,0.0,98,22000.0,8.8,14.8,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 03:00:00,26.3,90,25,0.0,98,15660.0,11.0,19.1,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 04:00:00,26.0,91,35,0.0,95,14940.0,10.1,19.1,3,Nhieu may
Dong Thap,10.4939,105.6882,2026-05-20 05:00:00,24.9,95,46,2.8,100,2540.0,13.2,23.4,81,Mua rao vua
Dong Thap,10.4939,105.6882,2026-05-20 06:00:00,24.9,95,59,1.2,98,3720.0,11.2,23.0,55,Mua phun day
Dong Thap,10.4939,105.6882,2026-05-20 07:00:00,25.1,94,67,1.8,98,3940.0,13.9,27.4,80,Mua rao nhe
Dong Thap,10.4939,105.6882,2026-05-20 08:00:00,26.2,89,67,0.6,100,4900.0,11.6,26.3,53,Mua phun vua
