location_name,latitude,longitude,timestamp,source,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description
Dong Thap,10.4939,105.6882,2026-05-25 00:00:00,WeatherAPI,28.1,79,74,0.04,85,10000.0,14.8,23.1,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-25 01:00:00,WeatherAPI,27.7,81,0,0.0,36,10000.0,12.2,19.4,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-25 02:00:00,WeatherAPI,27.1,84,100,1.14,77,9000.0,9.4,15.8,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-25 03:00:00,WeatherAPI,26.7,86,0,0.0,21,10000.0,8.6,14.9,1000,Clear
Dong Thap,10.4939,105.6882,2026-05-25 04:00:00,WeatherAPI,26.5,87,0,0.0,25,10000.0,9.0,15.6,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-25 05:00:00,WeatherAPI,26.3,88,0,0.0,23,10000.0,7.6,13.3,1000,Clear
Dong Thap,10.4939,105.6882,2026-05-25 06:00:00,WeatherAPI,26.7,87,0,0.0,27,10000.0,7.9,13.2,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-25 07:00:00,WeatherAPI,28.2,80,0,0.0,21,10000.0,10.4,14.1,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-25 08:00:00,WeatherAPI,30.3,69,0,0.0,13,10000.0,15.1,18.1,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-25 09:00:00,WeatherAPI,32.2,59,0,0.0,29,10000.0,14.8,17.0,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-25 10:00:00,WeatherAPI,33.7,52,0,0.0,28,10000.0,15.8,18.2,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-25 11:00:00,WeatherAPI,35.0,48,0,0.0,65,10000.0,16.2,18.6,1006,Cloudy
Dong Thap,10.4939,105.6882,2026-05-25 12:00:00,WeatherAPI,36.0,45,0,0.0,41,9000.0,18.0,20.7,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-25 13:00:00,WeatherAPI,36.3,44,76,0.01,100,10000.0,21.2,24.4,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-25 14:00:00,WeatherAPI,34.7,49,85,0.04,86,10000.0,22.3,28.7,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-25 15:00:00,WeatherAPI,33.3,54,0,0.0,79,9000.0,21.6,31.3,1087,Thundery outbreaks in nearby
Dong Thap,10.4939,105.6882,2026-05-25 16:00:00,WeatherAPI,33.4,53,0,0.0,25,10000.0,23.8,31.7,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-25 17:00:00,WeatherAPI,32.5,56,0,0.0,24,10000.0,23.4,31.8,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-25 18:00:00,WeatherAPI,30.7,63,0,0.0,22,10000.0,22.3,34.5,1000,Sunny
Dong Thap,10.4939,105.6882,2026-05-25 19:00:00,WeatherAPI,29.5,69,0,0.0,23,10000.0,21.2,32.4,1000,Clear
Dong Thap,10.4939,105.6882,2026-05-25 20:00:00,WeatherAPI,29.1,73,0,0.0,25,10000.0,19.8,30.0,1000,Clear
Dong Thap,10.4939,105.6882,2026-05-25 21:00:00,WeatherAPI,28.8,74,0,0.0,27,10000.0,19.4,29.7,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-25 22:00:00,WeatherAPI,28.3,78,100,1.64,76,9000.0,17.6,28.4,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-25 23:00:00,WeatherAPI,27.6,82,0,0.0,30,10000.0,17.3,29.8,1003,Partly Cloudy
Dong Thap,10.4939,105.6882,2026-05-26 00:00:00,WeatherAPI,27.8,82,100,0.23,83,9000.0,19.1,31.5,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-26 01:00:00,WeatherAPI,27.4,83,100,1.38,76,9000.0,18.4,32.1,1063,Patchy rain nearby
Dong Thap,10.4939,105.6882,2026-05-26 02:00:00,WeatherAPI,27.4,83,100,0.19,85,9000.0,18.4,32.0,1063,Patchy rain nearby
