timestamp,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,location_name,latitude,longitude,source,weather_description
2026-03-21 00:00:00,24.5,88,,0.0,2,,9.3,16.2,0,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 01:00:00,24.0,93,,0.0,13,,8.5,16.2,0,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 02:00:00,23.8,94,,0.0,5,,6.5,14.8,0,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 03:00:00,23.4,97,,0.0,9,,3.8,11.2,0,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 04:00:00,23.0,98,,0.0,87,,4.0,5.8,3,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 05:00:00,22.8,98,,0.0,87,,3.6,6.1,3,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 06:00:00,22.6,98,,0.0,20,,3.9,5.0,1,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 07:00:00,24.4,94,,0.0,83,,6.0,11.2,3,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 08:00:00,26.3,83,,0.0,80,,13.6,25.9,3,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 09:00:00,27.7,74,,0.0,80,,13.3,27.4,3,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 10:00:00,28.8,69,,0.1,52,,13.1,28.1,51,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 11:00:00,30.0,64,,0.1,48,,12.3,28.1,51,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 12:00:00,30.8,60,,0.0,66,,11.9,27.4,2,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 13:00:00,31.0,57,,0.0,44,,11.8,26.6,1,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 14:00:00,31.1,56,,0.0,11,,12.4,27.0,0,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 15:00:00,31.3,55,,0.0,15,,12.6,26.6,0,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 16:00:00,30.9,55,,0.0,64,,13.9,26.6,2,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 17:00:00,29.9,61,,0.0,36,,12.0,26.6,1,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 18:00:00,28.5,64,,0.0,5,,12.5,21.2,0,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 19:00:00,27.5,66,,0.0,5,,11.6,23.0,0,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 20:00:00,26.8,69,,0.0,2,,13.6,23.4,0,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 21:00:00,26.1,73,,0.0,2,,13.8,23.8,0,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
2026-03-21 22:00:00,25.5,78,,0.0,0,,13.9,24.5,0,Dong Thap,10.4939,105.6882,Open-Meteo-Historical,
